******************ready_q****************************
('id : ', 6471, 'cpu :', 6.0, 'io : ', 4, 'ratio : ', 3.3333333333333335)
('id : ', 6468, 'cpu :', 7.0, 'io : ', 5, 'ratio : ', 3.142857142857143)
('id : ', 6467, 'cpu :', 5.0, 'io : ', 3, 'ratio : ', 4.0)
('id : ', 6470, 'cpu :', 5, 'io : ', 5, 'ratio : ', 4)
('id : ', 6472, 'cpu :', 4, 'io : ', 3, 'ratio : ', 5)
('id : ', 6473, 'cpu :', 4, 'io : ', 3, 'ratio : ', 5)
('id : ', 6474, 'cpu :', 6, 'io : ', 4, 'ratio : ', 3)
('id : ', 6475, 'cpu :', 7, 'io : ', 5, 'ratio : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6466, 'cpu :', 4.0, 'io : ', 4, 'ratio : ', 1.25)
('id : ', 6469, 'cpu :', 6.0, 'io : ', 3, 'ratio : ', 3.6666666666666665)
('id : ', 6471, 'cpu :', 6.0, 'io : ', 4, 'ratio : ', 3.5)
('id : ', 6468, 'cpu :', 7.0, 'io : ', 5, 'ratio : ', 3.2857142857142856)
('id : ', 6467, 'cpu :', 5.0, 'io : ', 3, 'ratio : ', 4.2)
('id : ', 6470, 'cpu :', 5, 'io : ', 5, 'ratio : ', 4)
('id : ', 6472, 'cpu :', 4, 'io : ', 3, 'ratio : ', 5)
('id : ', 6473, 'cpu :', 4, 'io : ', 3, 'ratio : ', 5)
('id : ', 6474, 'cpu :', 6, 'io : ', 4, 'ratio : ', 3)
('id : ', 6475, 'cpu :', 7, 'io : ', 5, 'ratio : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6466, 'cpu :', 3.0, 'io : ', 4, 'ratio : ', 1.3333333333333333)
('id : ', 6469, 'cpu :', 6.0, 'io : ', 3, 'ratio : ', 3.8333333333333335)
('id : ', 6471, 'cpu :', 6.0, 'io : ', 4, 'ratio : ', 3.6666666666666665)
('id : ', 6468, 'cpu :', 7.0, 'io : ', 5, 'ratio : ', 3.4285714285714284)
('id : ', 6467, 'cpu :', 5.0, 'io : ', 3, 'ratio : ', 4.4)
('id : ', 6470, 'cpu :', 5, 'io : ', 5, 'ratio : ', 4)
('id : ', 6472, 'cpu :', 4, 'io : ', 3, 'ratio : ', 5)
('id : ', 6473, 'cpu :', 4, 'io : ', 3, 'ratio : ', 5)
